
[]
[9.8, -0.36, -0.37, 0.11, -0.04, -0.03]
[9.81, -0.02, -0.25, 0.08, -0.05, -0.03]
[9.82, 0.06, -0.27, 0.03, -0.04, -0.03]
[9.81, 0.28, -0.21, 0.01, -0.03, -0.02]
[9.82, 0.03, -0.29, -0.0, -0.02, -0.02]
[9.84, 0.24, -0.22, -0.01, -0.03, -0.02]
[9.81, 0.13, -0.21, 0.0, -0.03, -0.02]
[9.81, 0.08, -0.22, 0.01, -0.03, -0.02]
[9.8, 0.14, -0.15, 0.01, -0.04, -0.02]
[9.82, 0.11, -0.19, -0.0, -0.02, -0.02]
[9.83, 0.1, -0.23, -0.02, -0.01, -0.02]
[9.8, 0.27, -0.22, -0.04, -0.02, -0.02]
[9.8, 0.45, -0.17, -0.04, -0.02, -0.02]
[9.83, 0.35, -0.17, -0.04, -0.01, -0.01]
[9.82, 0.21, -0.16, -0.04, -0.01, -0.01]
[9.82, 0.11, -0.16, -0.03, -0.0, -0.01]
[9.82, 0.07, -0.18, -0.04, -0.0, -0.01]
[9.81, 0.18, -0.19, -0.05, 0.0, -0.01]
[9.81, 0.24, -0.19, -0.05, 0.01, -0.01]
[9.8, 0.4, -0.16, -0.04, 0.01, -0.01]
[9.79, 0.46, -0.19, -0.04, -0.02, -0.02]
[9.8, 0.25, -0.18, -0.03, -0.03, -0.02]
[9.82, 0.11, -0.19, -0.02, -0.02, -0.02]
[9.79, -0.0, -0.16, -0.04, 0.0, -0.01]
[9.81, 0.12, -0.2, -0.09, -0.01, -0.01]
[9.82, 0.18, -0.23, -0.13, -0.02, -0.01]
[9.82, 0.3, -0.14, -0.2, -0.02, -0.01]
[9.83, 0.29, -0.07, -0.26, -0.02, -0.01]
[9.8, 0.3, 0.06, -0.27, -0.02, -0.01]
[9.81, 0.43, -0.06, -0.24, -0.02, -0.01]
[9.8, 0.36, 0.03, -0.18, -0.03, -0.02]
[9.83, 0.29, 0.15, -0.07, -0.02, -0.02]
[9.8, 0.37, 0.21, 0.0, -0.03, -0.02]
[9.8, 0.47, 0.34, 0.02, -0.03, -0.02]
[9.83, 0.19, 0.27, 0.05, -0.06, -0.03]
[9.8, 0.04, -0.12, 0.13, -0.05, -0.03]
[9.77, 0.1, -0.58, 0.19, -0.04, -0.03]
[9.78, 0.31, -0.86, 0.17, -0.01, -0.02]
[9.81, 0.24, -0.96, 0.11, -0.01, -0.02]
[9.82, 0.27, -0.56, 0.07, -0.01, -0.02]
[9.82, 0.26, -0.28, 0.06, -0.01, -0.02]
[9.81, 0.22, -0.21, 0.08, -0.02, -0.02]
[9.84, 0.05, -0.29, 0.1, -0.02, -0.02]
[9.81, 0.29, -0.2, 0.13, -0.02, -0.02]
[9.79, 0.19, -0.32, 0.18, -0.03, -0.03]
[9.79, 0.26, -0.38, 0.18, -0.02, -0.03]
