AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.82,-0.33,-1.97,0.28,-0.01,-0.03
9.83,0.4,-1.74,0.23,-0.0,-0.03
9.84,0.36,-1.78,0.17,-0.0,-0.02
9.7,0.65,-2.24,0.01,-0.01,-0.02
9.81,1.19,-2.09,-0.26,-0.02,-0.0
9.84,1.19,-0.77,-0.43,-0.02,0.0
9.81,1.15,0.33,-0.4,-0.02,0.0
9.91,1.16,0.45,-0.3,-0.03,-0.0
9.81,1.12,-0.22,-0.27,-0.03,-0.0
9.82,0.96,-0.29,-0.34,-0.04,-0.0
9.74,0.71,-0.21,-0.41,-0.04,0.0
9.86,0.46,-0.26,-0.47,-0.03,0.01
9.94,0.35,-0.23,-0.49,-0.04,0.01
9.76,0.26,0.2,-0.49,-0.04,0.0
9.84,-0.12,0.76,-0.42,-0.04,0.0
9.85,-0.16,0.72,-0.28,-0.02,-0.01
9.85,-0.34,0.42,-0.18,-0.03,-0.01
9.85,-0.35,0.24,-0.15,-0.02,-0.01
9.87,-0.32,-0.09,-0.12,-0.02,-0.01
9.82,-0.16,-0.07,-0.14,-0.03,-0.01
9.82,-0.01,-0.17,-0.12,-0.03,-0.01
9.8,0.1,-0.17,-0.1,-0.03,-0.02
9.8,0.15,-0.48,-0.1,-0.03,-0.01
9.8,0.17,-0.79,-0.18,-0.02,-0.01
9.81,0.24,-0.3,-0.21,-0.02,-0.01
9.83,0.03,0.25,-0.16,-0.02,-0.01
9.81,0.11,0.01,-0.07,-0.02,-0.01
9.84,0.41,-0.15,-0.12,-0.03,-0.01
9.8,0.33,0.0,-0.15,-0.02,-0.01
9.81,0.3,0.11,-0.2,-0.01,-0.01
9.87,0.26,0.65,-0.24,-0.01,-0.01
9.86,0.03,1.47,-0.19,-0.02,-0.01
9.9,-0.27,1.99,-0.02,-0.02,-0.02
9.93,-0.56,1.66,0.17,-0.02,-0.02
9.92,-0.29,0.21,0.3,0.0,-0.04
9.81,-0.11,-0.25,0.24,0.0,-0.03
9.84,-0.09,-0.44,0.21,-0.01,-0.03
9.85,0.08,-0.26,0.19,-0.02,-0.03
9.78,0.04,-0.48,0.25,-0.01,-0.03
9.78,0.24,-1.33,0.3,-0.0,-0.03
9.72,0.4,-2.43,0.24,-0.01,-0.03
9.73,0.57,-2.77,0.09,-0.01,-0.02
9.74,0.38,-2.75,-0.03,-0.03,-0.02
9.79,0.11,-0.79,-0.03,-0.01,-0.02
9.82,0.11,-0.72,0.05,-0.01,-0.02
9.76,0.1,-1.75,0.18,-0.01,-0.03
9.74,0.42,-3.03,0.03,-0.02,-0.02
9.68,0.62,-2.93,-0.19,-0.02,-0.01
9.81,0.56,-2.35,-0.44,-0.04,-0.0
9.83,0.33,-0.88,-0.54,-0.05,0.0
9.76,0.24,0.16,-0.49,-0.03,0.0
9.92,0.12,0.11,-0.43,-0.04,-0.0
9.82,-0.02,0.42,-0.41,-0.04,-0.0
9.84,-0.15,1.02,-0.37,-0.04,-0.01
9.91,-0.26,1.1,-0.28,-0.02,-0.01
9.92,-0.23,1.31,-0.22,-0.02,-0.01
9.85,-0.21,1.49,-0.14,-0.03,-0.01
9.83,-0.23,1.49,-0.05,-0.03,-0.01
9.83,0.1,-0.03,-0.03,-0.04,-0.02
9.84,1.0,0.05,-0.12,-0.04,-0.01
9.83,0.56,0.49,-0.15,-0.03,-0.01
9.85,0.83,0.44,-0.08,-0.0,-0.02
9.83,0.95,-0.07,-0.01,-0.01,-0.02
9.74,0.96,-0.36,-0.02,-0.01,-0.02
9.81,0.79,-0.52,-0.04,-0.02,-0.02
9.77,0.3,-0.7,-0.06,-0.01,-0.02
9.82,0.13,-0.85,-0.11,-0.01,-0.02
9.87,-0.3,-0.49,-0.16,-0.01,-0.02
9.8,-0.78,-0.06,-0.14,-0.04,-0.02
9.8,-1.22,-0.32,-0.1,-0.03,-0.02
9.82,-1.24,-0.57,-0.1,-0.04,-0.02
9.84,-1.35,-0.27,-0.12,-0.03,-0.02
9.87,-1.76,0.51,-0.0,0.01,-0.02
9.9,-1.33,0.31,0.11,0.02,-0.02
9.83,-1.19,0.18,0.17,-0.01,-0.02
9.89,-0.88,0.23,0.2,-0.01,-0.02
9.89,-0.49,0.3,0.27,-0.01,-0.02
9.8,0.04,-0.24,0.34,-0.0,-0.02
9.74,0.67,-1.07,0.34,0.02,-0.03
9.76,0.97,-1.91,0.31,-0.0,-0.03
9.73,1.32,-2.19,0.23,-0.01,-0.02
9.73,1.22,-2.17,0.15,-0.01,-0.02
9.77,1.11,-1.92,0.06,-0.01,-0.02
9.71,1.22,-1.74,-0.04,-0.0,-0.01
9.76,1.24,-1.48,-0.15,-0.03,-0.01
9.79,1.29,-0.92,-0.25,-0.04,-0.01
9.79,1.19,-0.57,-0.36,-0.04,-0.01
9.91,0.89,0.17,-0.44,-0.04,-0.0
9.8,0.61,1.08,-0.41,-0.04,-0.0
9.84,0.37,1.31,-0.33,-0.04,-0.01
9.91,0.18,1.18,-0.26,-0.04,-0.01
9.87,-0.07,1.27,-0.22,-0.03,-0.02
9.88,-0.2,1.19,-0.18,-0.04,-0.01
9.86,-0.3,1.43,-0.13,-0.03,-0.02
9.85,-0.5,1.83,-0.04,-0.02,-0.02
9.89,-0.85,2.27,0.1,-0.03,-0.02
9.94,-0.9,2.21,0.31,-0.01,-0.03
9.83,-1.09,1.62,0.5,0.0,-0.04
9.75,-0.69,0.8,0.64,0.02,-0.05
9.8,-0.39,-0.34,0.67,0.02,-0.05
9.77,-0.02,-1.08,0.62,0.02,-0.04
9.8,0.23,-1.72,0.54,0.02,-0.04
9.71,0.45,-2.26,0.44,0.0,-0.03
9.74,0.64,-3.06,0.3,-0.0,-0.02
