
9.82,0.17,-0.17,-0.03,-0.02,-0.02
9.81,0.17,-0.2,-0.03,-0.02,-0.02
9.82,0.17,-0.19,-0.02,-0.02,-0.02
9.82,0.17,-0.18,-0.03,-0.02,-0.02
9.81,0.15,-0.15,-0.03,-0.02,-0.02
9.8,0.17,-0.17,-0.03,-0.02,-0.02
9.8,0.17,-0.15,-0.02,-0.02,-0.02
9.82,0.16,-0.18,-0.03,-0.02,-0.02
9.82,0.18,-0.18,-0.02,-0.02,-0.02
9.83,0.17,-0.19,-0.03,-0.02,-0.02
9.82,0.19,-0.19,-0.03,-0.02,-0.02
9.84,0.17,-0.21,-0.03,-0.02,-0.02
9.82,0.17,-0.17,-0.03,-0.02,-0.02
9.82,0.16,-0.19,-0.02,-0.02,-0.02
9.81,0.14,-0.2,-0.03,-0.02,-0.02
9.82,0.16,-0.17,-0.02,-0.02,-0.02
9.82,0.16,-0.22,-0.03,-0.02,-0.02
9.83,0.15,-0.16,-0.03,-0.02,-0.02
9.81,0.16,-0.21,-0.03,-0.02,-0.02
9.82,0.15,-0.19,-0.03,-0.02,-0.02
9.8,0.16,-0.19,-0.02,-0.02,-0.02
9.82,0.14,-0.18,-0.03,-0.02,-0.02
9.8,0.16,-0.2,-0.03,-0.02,-0.02
9.8,0.16,-0.21,-0.03,-0.02,-0.02
9.82,0.17,-0.19,-0.03,-0.02,-0.02
9.83,0.16,-0.17,-0.02,-0.02,-0.02
9.83,0.18,-0.18,-0.03,-0.02,-0.02
9.81,0.17,-0.17,-0.02,-0.02,-0.02
9.79,0.15,-0.18,-0.03,-0.02,-0.02
9.79,0.16,-0.18,-0.03,-0.02,-0.02
9.81,0.17,-0.17,-0.02,-0.02,-0.02
9.81,0.17,-0.18,-0.02,-0.02,-0.02
9.82,0.17,-0.2,-0.03,-0.02,-0.02
9.83,0.18,-0.18,-0.03,-0.02,-0.02
9.8,0.15,-0.21,-0.03,-0.02,-0.02
