AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.76,-0.16,-0.3,0.24,-0.02,-0.02
9.79,-0.04,-0.75,0.1,-0.03,-0.02
9.73,0.13,-0.8,-0.04,-0.03,-0.01
9.82,-0.09,-0.67,-0.11,-0.05,-0.0
9.81,0.08,-0.47,-0.18,-0.04,-0.01
9.81,0.31,-0.01,-0.27,-0.03,-0.01
9.82,0.53,0.49,-0.32,-0.02,-0.02
9.82,0.88,0.58,-0.37,-0.06,-0.01
9.84,0.91,0.31,-0.38,-0.07,-0.01
9.83,0.88,-0.08,-0.34,-0.01,0.0
9.78,1.0,-0.11,-0.29,-0.01,-0.0
9.79,1.22,0.2,-0.24,-0.03,-0.01
9.82,1.32,0.44,-0.14,-0.02,-0.02
9.83,1.06,0.57,-0.01,-0.01,-0.02
9.84,0.57,0.72,0.15,0.0,-0.02
9.8,0.09,0.59,0.33,-0.0,-0.03
9.85,-0.07,-0.06,0.5,-0.01,-0.05
9.77,-0.43,-0.88,0.6,0.0,-0.05
9.83,-0.6,-1.84,0.61,-0.0,-0.04
9.76,-0.56,-2.34,0.55,0.01,-0.04
9.81,-0.6,-2.06,0.51,0.04,-0.03
9.8,-0.69,-1.68,0.46,0.01,-0.03
9.78,-0.87,-1.82,0.29,-0.01,-0.02
9.83,-1.02,-1.71,0.12,-0.03,-0.02
9.79,-0.81,-1.82,-0.0,-0.03,-0.01
9.81,-0.39,-1.63,-0.15,-0.03,-0.01
9.75,-0.06,-1.14,-0.29,-0.02,-0.01
9.73,0.21,-0.5,-0.43,-0.04,-0.0
9.96,0.33,0.18,-0.52,-0.05,0.0
9.88,0.7,1.51,-0.54,-0.04,0.01
9.9,0.68,2.73,-0.39,-0.05,0.01
9.86,0.91,2.94,-0.18,-0.04,-0.01
9.86,1.15,1.21,-0.04,-0.03,-0.02
9.82,0.57,0.15,-0.06,-0.02,-0.02
9.83,1.01,0.45,-0.19,-0.02,-0.01
9.85,0.86,1.23,-0.24,-0.01,-0.01
9.89,0.3,1.99,-0.15,0.01,-0.01
9.85,0.11,1.99,0.03,0.01,-0.02
9.86,-0.01,1.52,0.23,-0.01,-0.03
9.82,-0.17,0.31,0.41,0.0,-0.04
9.73,-0.41,-1.0,0.46,0.0,-0.04
9.75,-0.45,-2.01,0.42,-0.0,-0.03
9.73,-0.4,-2.56,0.27,-0.0,-0.02
9.76,-0.41,-2.47,0.08,-0.01,-0.02
9.78,-0.21,-1.61,-0.02,-0.02,-0.02
9.79,-0.71,-0.68,0.03,-0.02,-0.02
9.83,-0.45,-0.85,0.15,-0.02,-0.02
9.77,-0.25,-1.17,0.24,-0.02,-0.02
9.81,-0.57,-1.61,0.27,-0.02,-0.02
9.78,-0.42,-1.82,0.25,-0.01,-0.02
9.79,-0.06,-1.84,0.14,-0.04,-0.03
9.79,0.3,-1.62,-0.04,-0.06,-0.02
9.82,0.77,-1.08,-0.24,-0.05,-0.01
9.82,0.73,-0.04,-0.34,-0.04,0.0
9.82,0.91,0.51,-0.34,-0.05,-0.0
9.86,1.04,0.79,-0.3,-0.05,-0.01
9.85,1.23,0.76,-0.24,-0.05,-0.01
9.89,1.24,1.19,-0.2,-0.03,-0.01
9.81,1.04,0.93,-0.09,-0.01,-0.02
9.82,1.03,0.19,-0.01,-0.01,-0.02
9.8,0.88,-0.36,-0.02,0.0,-0.02
9.79,0.1,-0.26,-0.12,0.0,-0.02
9.79,-0.01,0.0,-0.21,0.01,-0.01
9.77,0.11,0.04,-0.24,-0.01,-0.01
9.81,0.0,0.29,-0.23,-0.01,-0.01
9.8,-0.52,0.46,-0.2,-0.02,-0.01
9.85,0.23,0.42,-0.08,-0.02,-0.02
9.85,0.91,0.02,-0.09,-0.02,-0.02
9.83,-0.41,0.07,-0.09,-0.02,-0.02
9.89,-0.4,0.47,-0.13,-0.03,-0.01
9.81,0.06,0.79,-0.17,-0.01,-0.01
9.84,-0.39,1.1,-0.15,-0.01,-0.01
9.93,-0.75,1.42,0.03,-0.02,-0.02
9.84,-0.99,0.98,0.26,0.0,-0.03
9.86,-0.67,-0.1,0.34,-0.03,-0.03
9.75,-0.67,-0.75,0.31,-0.02,-0.03
9.81,-0.78,-1.19,0.27,-0.03,-0.03
9.81,-0.62,-1.18,0.2,-0.04,-0.02
9.95,-0.77,-0.83,0.14,-0.04,-0.02
9.72,-0.39,-0.65,0.15,-0.06,-0.03
9.88,-0.26,-0.89,0.12,-0.09,-0.02
9.82,0.28,-0.95,0.11,-0.08,-0.02
9.79,0.57,-1.16,0.12,-0.05,-0.02
9.72,0.89,-1.45,0.11,-0.04,-0.02
9.78,1.3,-1.56,0.06,-0.04,-0.02
9.75,1.26,-1.23,-0.01,-0.02,-0.02
9.77,1.34,-0.86,-0.08,-0.01,-0.01
9.81,1.31,-0.56,-0.14,0.01,-0.01
9.77,1.2,-0.4,-0.11,-0.01,-0.01
9.85,0.89,-0.38,0.01,-0.04,-0.02
9.83,0.53,-0.11,0.07,0.0,-0.02
9.74,-0.66,0.0,0.05,-0.05,-0.03
9.91,-1.0,0.11,-0.24,-0.05,-0.02
9.84,-0.24,1.18,-0.26,-0.03,-0.01
9.85,0.44,0.23,-0.24,-0.03,-0.01
9.85,0.7,0.42,-0.38,-0.01,-0.0
9.84,0.18,0.93,-0.36,-0.03,-0.0
9.92,-0.06,1.29,-0.2,0.0,-0.01
9.83,-0.19,1.53,0.05,0.02,-0.02
9.88,-0.06,1.21,0.25,0.01,-0.02
9.81,0.03,0.69,0.41,0.03,-0.03
9.8,0.16,-0.17,0.48,0.02,-0.04
9.82,0.24,-1.23,0.46,0.03,-0.04
9.77,0.31,-2.11,0.34,-0.03,-0.04
9.75,0.02,-2.51,0.16,-0.04,-0.03
